Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112048883,serine-enriched protein isoform X1,gprs,1234.832249,-8.987449786,5.83E-57,8.987449786
LOC112045836,muscle M-line assembly protein unc-89-like isoform X1,Strn-Mlck,2995.239293,-2.416877617,6.24E-42,2.416877617
LOC112042995,eisosome protein SEG2,CG15239,53390.10034,-9.59141869,2.66E-35,9.59141869
LOC112053141,uncharacterized protein LOC112053141,LOC112053141,34426.25598,-10.95948763,1.03E-31,10.95948763
LOC112050392,protein lethal(2)essential for life-like,l(2)efl,274.6333977,3.142918353,2.44E-31,-3.142918353
LOC112056110,UBX domain-containing protein 4,LOC112056110,15563.00921,-7.732319816,1.40E-30,7.732319816
LOC112043949,uncharacterized LOC106124811 precursor,Osi22,17441.86623,-8.295897905,9.29E-26,8.295897905
LOC112044362,myosin-I heavy chain,Myo22,577.7398457,-2.186951638,8.78E-25,2.186951638
LOC112054537,putative cuticle protein CPR149,CG1136,13113.44718,-4.641739532,1.47E-24,4.641739532
LOC112053097,insulin receptor substrate 1,chico,236.4611193,-1.980421593,1.09E-23,1.980421593
LOC112046369,zinc finger protein basonuclin-2-like,disco-r,16473.55442,-4.548080609,1.51E-23,4.548080609
LOC112052135,pre-piRNA 3'-exonuclease trimmer-like,LOC112052135,236.6046074,-1.979557756,4.27E-22,1.979557756
LOC112052969,OWR45561.1 putative Osiris,Osi11,12870.55087,-9.970124854,1.11E-21,9.970124854
LOC112052967,uncharacterized protein LOC112052967,CG15594,210850.8134,-5.88626309,2.32E-21,5.88626309
LOC112054993,RNA polymerase II degradation factor 1-like,LOC112054993,70543.31571,-8.688212496,1.79E-20,8.688212496
LOC112054985,myb-like protein AA,LOC112054985,13422.51747,-9.689736658,1.24E-19,9.689736658
LOC112053285,cationic amino acid transporter 2-like,CG5535,237.5450901,-2.697847612,1.36E-19,2.697847612
LOC112045943,putative ATP-dependent RNA helicase TDRD12,LOC112045943,505.6943744,-2.062796091,1.73E-19,2.062796091
LOC112044932,cuticle protein 16.5-like,LOC112044932,963.4194602,6.581400716,1.17E-18,-6.581400716
LOC112055603,disheveled-associated activator of morphogenesis 1 isoform X1,DAAM,1928.035409,-3.570290998,3.83E-18,3.570290998
LOC112052254,uncharacterized protein LOC112052254,LOC112052254,332.8573571,-3.442406211,1.74E-17,3.442406211
LOC112055437,zinc finger protein 271-like,LOC112055437,269.4185121,3.928238592,2.05E-17,-3.928238592
LOC112046072,bromodomain-containing protein 4-like isoform X1,LOC112046072,257.8838796,1.747803546,2.36E-17,-1.747803546
LOC112045972,cuticle protein 1-like,LOC112045972,174.0574612,2.958367479,3.34E-17,-2.958367479
LOC112044590,transcription factor GAGA-like isoform X1,bab2,940.4696632,-1.803535392,5.54E-17,1.803535392
LOC112058108,glypican-6,dlp,28913.6032,-6.588576456,8.20E-17,6.588576456
LOC112045530,proton-coupled amino acid transporter-like protein CG1139 isoform X1,CG43693,1077.863797,-2.319010403,1.39E-16,2.319010403
LOC112046215,protein couch potato-like,cpo,14472.82303,-1.569394545,1.39E-16,1.569394545
LOC112052460,LIM domain only protein 3-like,Bx,1374.368887,-1.996745346,1.61E-16,1.996745346
LOC112045588,low density lipoprotein receptor adapter protein 1-like,LOC112045588,1622.478486,2.483328913,2.03E-16,-2.483328913
LOC112044442,protein alan shepard isoform X1,shep,7472.857545,-2.150290406,2.50E-16,2.150290406
LOC112058310,anoctamin-1-like isoform X2,subdued,418.0852038,-2.536443593,2.80E-16,2.536443593
LOC112053315,phosphoacetylglucosamine mutase,nst,1941.627136,2.47236881,4.05E-16,-2.47236881
LOC112048174,uncharacterized protein LOC112048174 isoform X1,CG4702,52926.8779,-3.235549179,4.87E-16,3.235549179
LOC112056372,NA,NA,3525.81234,-7.724364537,7.43E-16,7.724364537
LOC112044177,uncharacterized protein LOC112044177,LOC112044177,2480.835993,-6.714749892,8.64E-16,6.714749892
LOC112047074,circumsporozoite protein,CG13857,2596.612352,-6.568056063,9.88E-16,6.568056063
LOC112053508,general transcriptional corepressor trfA-like,LOC112053508,24644.09158,-5.087439699,1.36E-15,5.087439699
LOC112042996,uncharacterized protein LOC112042996,LOC112042996,9237.665121,-9.331022116,3.91E-15,9.331022116
LOC112048823,uncharacterized protein LOC112048823 isoform X2,ChLD3,12824.86748,-2.933104676,4.58E-15,2.933104676
LOC112050179,formin-binding protein 1-like isoform X1,Cip4,7073.347776,-1.442124196,8.05E-15,1.442124196
LOC112046833,flocculation protein FLO11,CG42327,30714.97735,3.939883853,1.07E-14,-3.939883853
LOC112045940,unconventional myosin-Va,Myo5,534.9500054,-2.10218618,1.28E-14,2.10218618
LOC112057830,disheveled-associated activator of morphogenesis 1 isoform X2,DAAM,3974.421705,-3.404509427,1.79E-14,3.404509427
LOC112050190,uncharacterized protein LOC112050190,LOC112050190,38.30605602,3.945196847,2.08E-14,-3.945196847
LOC112050456,4-coumarate--CoA ligase 2-like,pdgy,598.7158943,2.053039152,2.11E-14,-2.053039152
LOC112047695,inorganic pyrophosphatase,Nurf-38,4873.623366,-1.069787049,3.06E-14,1.069787049
LOC112051228,nuclear speckle splicing regulatory protein 1,CG15747,332.4720225,0.98742018,3.06E-14,-0.98742018
LOC112043156,peroxisomal membrane protein PMP34,PMP34,278.4930656,-1.495819642,3.30E-14,1.495819642
LOC112052989,KPJ10984.1 Cuticlin-1,pio,2759.431753,-1.633603616,3.70E-14,1.633603616
LOC112052250,NA,NA,1133.972364,-3.23279326,8.91E-14,3.23279326
LOC112046471,uncharacterized protein LOC112046471,CG42237,866.1804326,-5.622132406,2.19E-13,5.622132406
LOC112046813,sorbitol dehydrogenase-like,Sodh-2,232.6144761,-4.037499689,2.28E-13,4.037499689
LOC112054554,glycine-rich cell wall structural protein-like,TwdlT,149.183259,2.877325236,2.28E-13,-2.877325236
LOC112057332,cullin-1,Cul1,402.0632691,1.933492718,2.49E-13,-1.933492718
LOC112045392,YLP motif-containing protein 1,LOC112045392,235.4734442,1.448509624,6.27E-13,-1.448509624
LOC112055880,acidic repeat-containing protein-like,ect,3175.744202,-3.793322606,6.79E-13,3.793322606
LOC112046326,putative fatty acyl-CoA reductase CG5065,CG30427,111.0394891,5.618623265,7.84E-13,-5.618623265
LOC112056580,integrator complex subunit 3 homolog isoform X2,LOC112056580,181.0209276,1.521550784,7.84E-13,-1.521550784
LOC112050877,uncharacterized protein LOC112050877,rau,18101.87815,-3.654569045,8.13E-13,3.654569045
LOC112055730,mediator of DNA damage checkpoint protein 1-like isoform X3,zye,1011.149705,3.189148095,1.30E-12,-3.189148095
LOC112052987,KPJ10984.1 Cuticlin-1,LOC112052987,1128.240941,-1.855414523,1.41E-12,1.855414523
LOC112053382,NA,NA,165.4080593,-6.252929476,1.41E-12,6.252929476
LOC112048705,polypeptide N-acetylgalactosaminyltransferase 2-like,Pgant2,2038.102605,-3.568246169,1.46E-12,3.568246169
LOC112043224,zinc finger CCCH domain-containing protein 13,CG8740,2101.446898,3.629432944,2.00E-12,-3.629432944
LOC112057643,disheveled-associated activator of morphogenesis 1 isoform X2,DAAM,281.7221008,-3.485640739,2.00E-12,3.485640739
LOC112047515,putative Nck-associated protein 5,LOC112047515,2246.663218,-2.303137918,2.27E-12,2.303137918
LOC112057307,scavenger receptor class B member 1,SCRB3,317.7118496,3.10255714,2.45E-12,-3.10255714
LOC112043986,retinol dehydrogenase 14,CG7675,2671.276306,-1.544815903,2.74E-12,1.544815903
LOC112054492,XP_013133305.1  mucin-2,CG12991,17597.32277,-5.21277791,2.74E-12,5.21277791
LOC112056885,LOW QUALITY PROTEIN: uncharacterized protein LOC112056885,Osi24,3431.24959,-7.729453195,2.93E-12,7.729453195
LOC112053675,putative cuticle protein CPH41,LOC112053675,183654.8559,-8.571372742,2.96E-12,8.571372742
LOC112053965,solute carrier family 12 member 9 isoform X1,CG10413,543.6537991,-1.249097201,2.96E-12,1.249097201
LOC112051888,zinc finger protein 184-like isoform X1,LOC112051888,632.6370931,1.669444675,3.09E-12,-1.669444675
LOC112046732,nucleolin-like isoform X1,LOC112046732,2039.724075,-0.608395054,8.48E-12,0.608395054
LOC112054989,adhesive plaque matrix protein-like,LOC112054989,4215.884164,-5.602161537,9.53E-12,5.602161537
LOC112050397,plastin-2,Fim,11335.70413,-4.663768672,1.03E-11,4.663768672
LOC112058572,protein timeless,tim,784.086976,1.34133304,1.13E-11,-1.34133304
LOC112054045,villin-like protein quail isoform X1,qua,1047.700889,-3.045078784,1.37E-11,3.045078784
LOC112043708,transcription cofactor vestigial-like protein 4,Tgi,1931.852347,-3.145628148,1.39E-11,3.145628148
LOC112049509,flocculation protein FLO11-like,LOC112049509,1930.213592,-5.35375461,1.53E-11,5.35375461
LOC112052963,uncharacterized protein LOC112052963,LOC112052963,381.5013934,-5.535756272,1.60E-11,5.535756272
LOC112051649,putative Phosphatidylinositol 3-and 4-kinase,LOC112051649,365.8827751,8.459983735,2.10E-11,-8.459983735
